source,num_years,start_year,end_year,derived,derived_details,geography,geography_id_name,geography_id,geography_name,demographic_category,demographic_category_label,min_age,max_age,unit,estimate,se,moe,cv,reliable,upper_ci,lower_ci,acs_table,acs_code,acs_label,acs_concept,pums_variables,overall_segment,reporting_segment,row_identifier,data_as_of,data_loaded_at,tract_name
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012301,Census Tract 123.01,all,all demographics,0,120,population count,1973,201.2158055,331,0.101984696,TRUE,2304,1642,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 123.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012302,Census Tract 123.02,all,all demographics,0,120,population count,2656,143.4650456,236,0.054015454,TRUE,2892,2420,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 123.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012403,Census Tract 124.03,all,all demographics,0,120,population count,2253,342.2492401,563,0.151908229,TRUE,2816,1690,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 124.03,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012404,Census Tract 124.04,all,all demographics,0,120,population count,2443,296.656535,488,0.121431246,TRUE,2931,1955,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 124.04,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012405,Census Tract 124.05,all,all demographics,0,120,population count,3381,297.2644377,489,0.087922046,TRUE,3870,2892,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 124.05,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012406,Census Tract 124.06,all,all demographics,0,120,population count,1433,79.63525836,131,0.055572406,TRUE,1564,1302,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 124.06,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012502,Census Tract 125.02,all,all demographics,0,120,population count,4034,457.7507599,753,0.113473168,TRUE,4787,3281,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 125.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012503,Census Tract 125.03,all,all demographics,0,120,population count,3600,359.8784195,592,0.099966228,TRUE,4192,3008,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 125.03,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012504,Census Tract 125.04,all,all demographics,0,120,population count,680,118.5410334,195,0.174325049,TRUE,875,485,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 125.04,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012601,Census Tract 126.01,all,all demographics,0,120,population count,2371,176.2917933,290,0.07435335,TRUE,2661,2081,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 126.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012602,Census Tract 126.02,all,all demographics,0,120,population count,3062,253.4954407,417,0.082787538,TRUE,3479,2645,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 126.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012700,Census Tract 127,all,all demographics,0,120,population count,3970,300.3039514,494,0.075643313,TRUE,4464,3476,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 127,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012801,Census Tract 128,all,all demographics,0,120,population count,2751,350.1519757,576,0.127281707,TRUE,3327,2175,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 128,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012802,Census Tract 128.02,all,all demographics,0,120,population count,1915,214.5896657,353,0.112057267,TRUE,2268,1562,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 128.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012901,Census Tract 129.01,all,all demographics,0,120,population count,2897,375.6838906,618,0.129680321,TRUE,3515,2279,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 129.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075012902,Census Tract 129.02,all,all demographics,0,120,population count,3493,203.0395137,334,0.058127545,TRUE,3827,3159,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 129.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013001,Census Tract 130,all,all demographics,0,120,population count,1972,131.9148936,217,0.066893962,TRUE,2189,1755,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 130,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013002,Census Tract 130.02,all,all demographics,0,120,population count,2755,382.9787234,630,0.139012241,TRUE,3385,2125,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 130.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013101,Census Tract 131.01,all,all demographics,0,120,population count,3775,358.662614,590,0.095009964,TRUE,4365,3185,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 131.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013102,Census Tract 131.02,all,all demographics,0,120,population count,2981,249.8480243,411,0.083813494,TRUE,3392,2570,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 131.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013200,Census Tract 132,all,all demographics,0,120,population count,4477,406.0790274,668,0.090703379,TRUE,5145,3809,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 132,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013300,Census Tract 133,all,all demographics,0,120,population count,4487,303.343465,499,0.067604962,TRUE,4986,3988,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 133,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013401,Census Tract 134,all,all demographics,0,120,population count,1644,210.3343465,346,0.1279406,TRUE,1990,1298,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 134,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013402,Census Tract 134.02,all,all demographics,0,120,population count,2156,229.1793313,377,0.106298391,TRUE,2533,1779,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 134.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075013500,Census Tract 135,all,all demographics,0,120,population count,2552,173.2522796,285,0.067888824,TRUE,2837,2267,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 135,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015100,Census Tract 151,all,all demographics,0,120,population count,2715,244.9848024,403,0.090233813,TRUE,3118,2312,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 151,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015201,Census Tract 152,all,all demographics,0,120,population count,1802,133.7386018,220,0.07421676,TRUE,2022,1582,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 152,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015202,Census Tract 152.02,all,all demographics,0,120,population count,2277,386.6261398,636,0.169796285,TRUE,2913,1641,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 152.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015300,Census Tract 153,all,all demographics,0,120,population count,2289,268.6930091,442,0.117384451,TRUE,2731,1847,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 153,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015401,Census Tract 154,all,all demographics,0,120,population count,3252,210.9422492,347,0.06486539,TRUE,3599,2905,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 154,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015402,Census Tract 154.02,all,all demographics,0,120,population count,2706,372.0364742,612,0.137485763,TRUE,3318,2094,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 154.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015500,Census Tract 155,all,all demographics,0,120,population count,3624,345.2887538,568,0.095278354,TRUE,4192,3056,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 155,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015600,Census Tract 156,all,all demographics,0,120,population count,3142,210.9422492,347,0.067136298,TRUE,3489,2795,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 156,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015701,Census Tract 157,all,all demographics,0,120,population count,5318,439.5136778,723,0.082646423,TRUE,6041,4595,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 157.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015702,Census Tract 157.02,all,all demographics,0,120,population count,3236,437.0820669,719,0.135068624,TRUE,3955,2517,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 157.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015801,Census Tract 158,all,all demographics,0,120,population count,3432,229.787234,378,0.066954322,TRUE,3810,3054,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 158.01,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015802,Census Tract 158.02,all,all demographics,0,120,population count,3613,333.7386018,549,0.092371603,TRUE,4162,3064,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 158.02,9/1/2022 12:17,9/1/2022 12:52,
acs5,5,2015,2020,FALSE,from acs table,tract,GEOID,6075015900,Census Tract 159,all,all demographics,0,120,population count,4652,339.2097264,558,0.072916966,TRUE,5210,4094,B01001,1,Estimate!!Total:,SEX BY AGE,N/A,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001),from census table B01001,acs5 population count data from 2015 to 2020 at the tract level  by all (from census table B01001) includes all demographics in Census Tract 159,9/1/2022 12:17,9/1/2022 12:52,
